
# --- Write time in mikroseconds ---
# configfile: mein-adios-fork/examples/heatTransfer/heat_bp3_sync.xml
# outputfile: /home/urz/kduwe/ht-output/heat-bp3-4nodes.bp
# MPI_Comm_size: 4
# N 	 M 	 nx 	 ny 	 steps 	 iterations
2 	 2 	 1024 	 1024 	 100 	 10

# Mean 	 Sdev 	 Rank 0
17460	 1619	 20250	 16622	 16503	 16468
16535	 1620	 19325	 15456	 15849	 15511
16128	 1550	 18801	 15274	 15113	 15326
16106	 1533	 18749	 15224	 15257	 15197
16995	 3249	 22621	 15097	 15159	 15104
15910	 1743	 18920	 14947	 15082	 14691
15600	 1738	 18600	 14667	 14591	 14545
16671	 1797	 19742	 15235	 15849	 15861
17145	 1812	 20276	 16061	 16136	 16109
16718	 1666	 19596	 15742	 15789	 15747
16284	 1559	 18919	 14955	 15440	 15825
15989	 1362	 18340	 15209	 15219	 15190
16384	 1685	 19295	 15458	 15418	 15367
16425	 1634	 19244	 15472	 15519	 15468
16205	 1656	 19066	 15248	 15292	 15216
16281	 2013	 19758	 14958	 15221	 15189
16605	 1714	 19512	 15086	 15927	 15896
17415	 2116	 21016	 16810	 15923	 15914
17095	 1870	 20327	 16012	 16044	 15999
16326	 1567	 19002	 15031	 15664	 15608
16100	 1628	 18886	 14797	 15256	 15462
26177	 13892	 49350	 24566	 15412	 15380
70017	 94499	 233695	 15656	 15508	 15210
16642	 1420	 19044	 16279	 15626	 15622
16029	 1424	 18482	 15347	 15167	 15122
17131	 2939	 22213	 15547	 15434	 15333
16626	 1782	 19604	 16361	 15310	 15232
15858	 1143	 17826	 15321	 15068	 15218
17936	 2804	 22717	 17122	 16022	 15885
15865	 1281	 18072	 15193	 15240	 14956
16554	 1152	 18527	 15791	 15802	 16098
16383	 1559	 19012	 16033	 15277	 15213
17573	 4404	 25201	 14997	 15076	 15018
15757	 1441	 18247	 15032	 14888	 14862
16311	 1863	 19527	 15106	 15358	 15255
15978	 1212	 18061	 15234	 15341	 15279
16489	 1696	 19426	 15481	 15604	 15445
16264	 1163	 18275	 15512	 15548	 15721
18119	 4097	 25142	 14842	 16132	 16362
19882	 1606	 22607	 18508	 19122	 19293
Total runtime = 4.6939s
-rw-r--r--. 1 kduwe iks 53K Aug  5 18:06 /home/urz/kduwe/ht-output/heat-bp3-4nodes.bp

# --- Write time in mikroseconds ---
# configfile: mein-adios-fork/examples/heatTransfer/heat_bp3_sync.xml
# outputfile: /home/urz/kduwe/ht-output/heat-bp3-4nodes.bp
# MPI_Comm_size: 4
# N 	 M 	 nx 	 ny 	 steps 	 iterations
2 	 2 	 4096 	 4096 	 100 	 10

# Mean 	 Sdev 	 Rank 0
76330	 3176	 81709	 75581	 74022	 74009
60381	 1771	 63207	 58316	 59939	 60062
59225	 1651	 62030	 58086	 58429	 58358
59118	 2141	 62631	 56862	 58428	 58552
60639	 2194	 64163	 58152	 60146	 60096
59068	 2222	 62719	 56701	 58468	 58384
59515	 2070	 62893	 57292	 58994	 58882
59095	 2191	 62887	 57690	 57934	 57869
59649	 1749	 62492	 57841	 59187	 59079
74092	 1851	 77297	 72925	 73119	 73027
77162	 7805	 90681	 72640	 72685	 72642
1493714	 1090493	 2553256	 2548957	 813404	 59241
60596	 1148	 62515	 59920	 60022	 59930
62273	 2337	 65889	 59352	 61932	 61919
61675	 2699	 66318	 60646	 59903	 59833
59668	 1808	 62653	 59414	 58424	 58184
60902	 2341	 64295	 57715	 60839	 60761
60166	 2062	 63659	 59587	 58735	 58685
62030	 2181	 65372	 59287	 61883	 61579
60626	 1685	 63491	 59570	 59883	 59563
60990	 3333	 66600	 57931	 59749	 59683
60341	 2606	 64758	 59641	 58600	 58367
59323	 2007	 62663	 57447	 58679	 58506
60861	 2770	 65293	 61094	 58559	 58499
59275	 1747	 62287	 58263	 58336	 58215
59940	 2145	 63555	 58040	 59446	 58719
58933	 1606	 61671	 58278	 57908	 57877
101103	 23995	 142659	 87278	 87263	 87215
821385	 1685	 823838	 820768	 820496	 820440
61596	 1826	 64759	 60519	 60563	 60543
61331	 1513	 63953	 60447	 60478	 60446
60372	 1377	 62719	 59613	 59605	 59553
60402	 1576	 63097	 59414	 59570	 59529
58899	 1893	 62164	 57785	 57899	 57749
59714	 1530	 62314	 59245	 58674	 58624
60102	 1711	 63060	 58925	 59240	 59183
98083	 68403	 216560	 58627	 58606	 58542
58571	 2120	 62195	 57759	 57219	 57113
58466	 1565	 61161	 57300	 57762	 57641
58650	 1512	 61218	 57887	 57795	 57703
58791	 1860	 61963	 57281	 58009	 57912
58247	 1169	 60220	 57763	 57547	 57460
57776	 1119	 59655	 56795	 57383	 57272
59531	 2123	 63076	 57428	 58847	 58773
58393	 1734	 61322	 57345	 57880	 57027
58114	 1590	 60816	 57060	 57350	 57233
58609	 1467	 61112	 57900	 57766	 57660
