# --- Read time in mikroseconds ---
# MPI_Comm_size: 4
# configfile: mein-adios-fork/examples/heatTransfer/heat_bp5_sync.xml
# inputOutput: /home/urz/kduwe/ht-output/heat-bp5-4nodes.bp
# analysisOutput: /home/urz/kduwe/ht-output/heat-bp5-analysis-output.bp
# N 	 M 	 nx 	 ny 	 steps 	 iterations
2 	 2 	 1024 	 1024 	 100 	 10

# Mean 	 Sdev 	 Rank 0
12966	333	13463	 12987	 12531	 12883
13281	197	13485	 13398	 13228	 13014
14032	1185	13499	 13694	 16015	 12922
13247	580	13782	 13783	 12417	 13007
13291	523	13928	 13577	 12529	 13130
13485	466	13191	 14173	 12989	 13589
13505	545	14390	 13390	 13311	 12930
13231	614	13835	 13789	 12420	 12882
13113	411	13300	 13505	 12457	 13192
13097	419	13017	 13521	 12460	 13391
13142	484	13010	 13499	 12443	 13619
14249	1323	16526	 13611	 13583	 13277
13301	624	13005	 13794	 12434	 13972
12981	295	13174	 13153	 12513	 13086
14173	1650	13501	 17015	 13162	 13014
14279	1611	13752	 17023	 13354	 12989
Total runtime = 7.18221s

# File Size:
total 26G
drwxr-xr-x. 2 kduwe iks    8 Aug 17 19:33 .
drwxr-xr-x. 6 kduwe iks    4 Aug 17 19:33 ..
-rw-r--r--. 1 kduwe iks 6.4G Aug 17 19:33 data.0
-rw-r--r--. 1 kduwe iks 6.4G Aug 17 19:33 data.1
-rw-r--r--. 1 kduwe iks 6.4G Aug 17 19:33 data.2
-rw-r--r--. 1 kduwe iks 6.4G Aug 17 19:33 data.3
-rw-r--r--. 1 kduwe iks 134K Aug 17 19:33 md.0
-rw-r--r--. 1 kduwe iks 6.6K Aug 17 19:33 md.idx
-rw-r--r--. 1 kduwe iks  984 Aug 17 19:33 mmd.0
-rw-r--r--. 1 kduwe iks  22K Aug 17 19:33 profiling.json
# --- Read time in mikroseconds ---
# MPI_Comm_size: 12
# configfile: mein-adios-fork/examples/heatTransfer/heat_bp5_sync.xml
# inputOutput: /home/urz/kduwe/ht-output/heat-bp5-4nodes.bp
# analysisOutput: /home/urz/kduwe/ht-output/heat-bp5-analysis-output.bp
# N 	 M 	 nx 	 ny 	 steps 	 iterations
4 	 3 	 1024 	 1024 	 100 	 10

# Mean 	 Sdev 	 Rank 0
9055	3506	5302	 9563	 13670	 5455	 13978	 9638	 5212	 14512	 10180	 5320	 10363	 5467
3075	1123	2368	 2111	 4183	 2293	 5806	 4284	 3847	 2298	 2315	 2591	 2347	 2465
2131	829	1821	 1524	 2674	 1468	 1440	 1460	 3708	 2530	 1428	 2511	 1377	 3634
2194	873	2380	 1309	 3121	 1442	 2471	 944	 2399	 3451	 1357	 2496	 1322	 3639
1686	784	2576	 1636	 1481	 1365	 1952	 761	 1302	 1137	 782	 2422	 1264	 3559
1468	631	2888	 1963	 1100	 1316	 776	 770	 2352	 1326	 751	 1659	 1286	 1433
1576	782	2856	 1985	 1103	 1100	 789	 768	 2249	 1268	 736	 2153	 981	 2934
1507	694	2465	 1594	 1545	 1094	 794	 774	 1167	 1694	 750	 2194	 1025	 2991
1425	613	2465	 1593	 1540	 1081	 788	 762	 1124	 1647	 752	 2011	 844	 2496
1442	595	2429	 1552	 1521	 1594	 779	 753	 1130	 1649	 748	 1908	 782	 2461
1328	590	2467	 1490	 1511	 1620	 784	 797	 1102	 787	 752	 2440	 834	 1357
1282	455	2176	 1486	 1467	 1133	 788	 765	 1122	 1642	 754	 1405	 775	 1878
1310	457	2078	 1460	 1482	 1596	 777	 753	 1113	 1625	 750	 1944	 749	 1400
1350	477	2010	 1458	 1466	 1581	 2086	 740	 1101	 873	 777	 1927	 763	 1421
1337	527	1987	 1471	 1446	 2054	 1253	 738	 1136	 785	 760	 2332	 760	 1326
1381	550	1978	 1464	 1445	 2058	 1256	 743	 1111	 790	 758	 1849	 766	 2361
1377	553	1989	 1464	 1473	 2050	 1256	 739	 1104	 787	 759	 1763	 753	 2396
1387	457	1983	 1455	 1426	 2087	 1252	 741	 1119	 1624	 749	 1877	 750	 1584
1366	545	1957	 1421	 1418	 2065	 1249	 739	 1099	 785	 759	 1754	 767	 2380
1294	425	1944	 1424	 1410	 2078	 1259	 744	 1098	 1605	 746	 1406	 765	 1056
