# --- QueryAdios time in mikroseconds ---
# MPI_Comm_size: 1
# N 	 M 	 nx 	 ny 	 steps 	 iterations
12 	 8 	 1024 	 1024 	 100 	 10
# Iteration = 1

# Read 	 Compute 	 Analysis
344229840 	 344229840 	 344229840
1502 	 1502 	 1502
1587916169 	 1587916169 	 1587916169
Total runtime = 1932.17s

# Iteration = 3

# Read 	 Compute 	 Analysis
2459 	 2459 	 2459
348477089 	 348477089 	 348477089
1515 	 1515 	 1515
1677507712 	 1677507712 	 1677507712
Total runtime = 2026.03s

# Iteration = 4

# Read 	 Compute 	 Analysis
2538 	 2538 	 2538
351493817 	 351493817 	 351493817
1556 	 1556 	 1556
1665768009 	 1665768009 	 1665768009
Total runtime = 2017.29s

# Iteration = 5

# Read 	 Compute 	 Analysis
2489 	 2489 	 2489
349575740 	 349575740 	 349575740
1481 	 1481 	 1481
1654983709 	 1654983709 	 1654983709
Total runtime = 2004.59s

# Iteration = 6

# Read 	 Compute 	 Analysis
2535 	 2535 	 2535
351323392 	 351323392 	 351323392
1557 	 1557 	 1557
1655631733 	 1655631733 	 1655631733
Total runtime = 2006.99s

# Iteration = 7

# Read 	 Compute 	 Analysis
2556 	 2556 	 2556
347686583 	 347686583 	 347686583
1525 	 1525 	 1525
1645646488 	 1645646488 	 1645646488
Total runtime = 1993.36s

# Iteration = 8

# Read 	 Compute 	 Analysis
2519 	 2519 	 2519
358416872 	 358416872 	 358416872
1635 	 1635 	 1635
1650898840 	 1650898840 	 1650898840
Total runtime = 2009.35s

# Iteration = 9

# Read 	 Compute 	 Analysis
2465 	 2465 	 2465
358055838 	 358055838 	 358055838
1815 	 1815 	 1815
1668225409 	 1668225409 	 1668225409
Total runtime = 2026.31s

# Iteration = 10

# Read 	 Compute 	 Analysis
2551 	 2551 	 2551
357086859 	 357086859 	 357086859
1512 	 1512 	 1512
1672570375 	 1672570375 	 1672570375
Total runtime = 2029.69s

# File Size:
total 607G
drwxr-xr-x. 2 kduwe iks    8 Aug 17 20:47 .
drwxr-xr-x. 4 kduwe iks    2 Aug 17 20:48 ..
-rw-r--r--. 1 kduwe iks 152G Aug 17 20:46 data.0
-rw-r--r--. 1 kduwe iks 152G Aug 17 20:46 data.1
-rw-r--r--. 1 kduwe iks 152G Aug 17 20:46 data.2
-rw-r--r--. 1 kduwe iks 152G Aug 17 20:46 data.3
-rw-r--r--. 1 kduwe iks 3.2M Aug 17 20:46 md.0
-rw-r--r--. 1 kduwe iks  80K Aug 17 20:47 md.idx
-rw-r--r--. 1 kduwe iks  984 Aug 17 20:40 mmd.0
-rw-r--r--. 1 kduwe iks 500K Aug 17 20:47 profiling.json
