# --- Read time in mikroseconds ---
# MPI_Comm_size: 4
# configfile: mein-adios-fork/examples/heatTransfer/heat_bp4_sync.xml
# inputOutput: /home/urz/kduwe/ht-output/heat-bp4-4nodes.bp
# analysisOutput: /home/urz/kduwe/ht-output/heat-bp4-analysis-output.bp
# N 	 M 	 nx 	 ny 	 steps 	 iterations
2 	 2 	 1024 	 1024 	 100 	 10

# Mean 	 Sdev 	 Rank 0
77375	35287	16707	 101959	 100128	 90708
110038	64463	16895	 198891	 116763	 107606
86519	41476	16436	 95637	 120752	 113251
66131	30548	16790	 97763	 66598	 83374
77943	38993	16033	 74038	 116670	 105032
95956	46419	16271	 122240	 131384	 113930
68159	30946	16711	 86545	 72472	 96911
44999	20044	16501	 51901	 39767	 71829
71174	32229	15818	 92710	 82862	 93308
66951	29844	16480	 83912	 92827	 74585
58108	24457	15965	 75505	 72412	 68552
71175	31765	16566	 84579	 88259	 95299
69724	33662	15984	 84460	 70971	 107483
1505980	2496523	16759	 5829772	 79578	 97811
51362	24535	16316	 84959	 47104	 57071
800292	1300887	16513	 74831	 3053198	 56628
100326	49378	16481	 137359	 112431	 135035
60770	25760	16562	 74498	 80848	 71174
64988	32326	16116	 106467	 64027	 73345
69674	14805	46794	 87352	 75940	 68613
80193	39353	15778	 119803	 83413	 101779
77672	35745	16706	 93302	 92549	 108134
76497	38657	17267	 79615	 83516	 125591
66754	31169	16241	 95426	 89381	 65968
72357	32691	16182	 86866	 88687	 97694
65351	28986	16104	 88568	 73010	 83724
71367	36830	17060	 111056	 98609	 58743
84865	39499	16956	 113485	 100164	 108857
69170	36462	16202	 96598	 55166	 108716
77849	36099	16243	 95821	 108102	 91230
89036	43814	16896	 127249	 91196	 120805
81711	37890	16210	 101091	 102202	 107341
63917	27876	16137	 75539	 86271	 77722
65743	29489	15776	 91942	 75102	 80154
68995	30999	16393	 78233	 85604	 95750
73273	34887	16087	 99977	 74020	 103010
76958	35214	16154	 94944	 101739	 94996
77023	35017	16510	 100663	 96861	 94060
99801	75849	16341	 81402	 223259	 78203
70830	32182	16388	 84960	 81863	 100111
63727	28767	16480	 82323	 90730	 65378
67914	33157	15912	 75007	 108183	 72555
66887	29317	16166	 86049	 82499	 82836
54800	22756	16252	 75357	 63207	 64387
77550	36435	16030	 103903	 84820	 105447
68065	30058	16333	 82901	 90810	 82217
71129	32178	15922	 88034	 96392	 84168
74096	38762	16726	 105202	 60712	 113745
64234	32002	16312	 102790	 80525	 57310
87715	42325	16380	 119879	 119036	 95565
68597	38219	16449	 47945	 100167	 109829
63624	27793	16148	 82131	 72043	 84175
44022	16719	16036	 59596	 52990	 47467
77898	35791	16320	 93135	 104653	 97487
75760	36068	16679	 111068	 97236	 78057
89673	41660	17760	 118496	 108835	 113603
66737	28131	18525	 77826	 81501	 89097
64230	31900	16743	 81485	 102373	 56322
63699	28094	17582	 78807	 66531	 91877
60525	24600	18013	 72116	 75331	 76641
71388	35011	17937	 63332	 95441	 108842
63571	26478	18049	 75140	 77234	 83861
90125	41635	18038	 114306	 112540	 115619
56854	24080	17300	 61052	 82013	 67054
78666	36210	17319	 109439	 99729	 88179
78580	44597	18203	 138658	 97452	 60007
59404	24312	18123	 80054	 66486	 72954
61135	25912	16778	 78820	 69487	 79456
78253	35564	17690	 90485	 96343	 108494
79068	36731	18115	 103447	 82901	 111812
64793	35469	17445	 43675	 99276	 98779
71910	32213	17962	 76992	 99553	 93133
83076	38084	18038	 114906	 101575	 97786
80502	44207	17149	 97373	 138661	 68827
65366	27728	18411	 72088	 82677	 88291
85605	40349	17978	 108503	 93583	 122357
77947	35917	17348	 108407	 85736	 100297
50565	19530	16851	 59282	 63444	 62686
85148	39283	17762	 102450	 116450	 103930
70716	36582	16730	 57448	 103965	 104724
58363	26578	17016	 54409	 74933	 87097
71156	31257	18076	 98764	 85218	 82569
70027	30317	17543	 87725	 86127	 88715
49704	19618	16959	 52583	 62083	 67191
75073	33612	18936	 91337	 82600	 107421
78354	40136	18505	 67453	 102788	 124673
64331	27170	17849	 76622	 76105	 86749
71825	31082	19172	 93404	 95832	 78893
75951	36320	19233	 69487	 110856	 104228
84533	42675	17812	 119427	 123992	 76903
79390	36366	17573	 107252	 103980	 88755
85283	39415	17683	 115910	 107120	 100422
58183	24763	17142	 77864	 77608	 60119
71755	33589	16999	 101001	 71590	 97431
92584	43302	17619	 116790	 116248	 119682
64831	34301	17131	 79860	 110076	 52257
55331	22415	17055	 74151	 65891	 64227
45659	16811	17278	 50289	 54270	 60801
Total runtime = 19.3991s

# --- Read time in mikroseconds ---
# MPI_Comm_size: 12
# configfile: mein-adios-fork/examples/heatTransfer/heat_bp4_sync.xml
# inputOutput: /home/urz/kduwe/ht-output/heat-bp4-4nodes.bp
# analysisOutput: /home/urz/kduwe/ht-output/heat-bp4-analysis-output.bp
# N 	 M 	 nx 	 ny 	 steps 	 iterations
4 	 3 	 1024 	 1024 	 100 	 10

# Mean 	 Sdev 	 Rank 0
