
# --- Write time in mikroseconds ---
# configfile: mein-adios-fork/examples/heatTransfer/heat_bp4_sync.xml
# outputfile: /home/urz/kduwe/ht-output/heat-bp4-4nodes.bp
# MPI_Comm_size: 4
# N 	 M 	 nx 	 ny 	 steps 	 iterations
2 	 2 	 1024 	 1024 	 100 	 10

# Mean 	 Sdev 	 Rank 0
-rw-r--r--. 1 kduwe iks 3.2G Aug  5 21:05 data.3
-rw-r--r--. 1 kduwe iks  60K Aug  5 21:05 md.0
-rw-r--r--. 1 kduwe iks 6.4K Aug  5 21:05 md.idx
-rw-r--r--. 1 kduwe iks 1.4K Aug  5 21:05 profiling.json

# --- Write time in mikroseconds ---
# configfile: mein-adios-fork/examples/heatTransfer/heat_bp4_sync.xml
# outputfile: /home/urz/kduwe/ht-output/heat-bp4-4nodes.bp
# MPI_Comm_size: 4
# N 	 M 	 nx 	 ny 	 steps 	 iterations
2 	 2 	 4096 	 4096 	 100 	 10

# Mean 	 Sdev 	 Rank 0
71204	 4037	 75519	 67547	 74920	 66832
56938	 4875	 61942	 51751	 61661	 52400
55733	 4025	 59885	 51788	 59610	 51652
56641	 4937	 61743	 51300	 61376	 52148
56991	 4499	 62723	 53880	 59858	 51504
58267	 6404	 66682	 51048	 62148	 53193
56385	 4091	 61205	 53174	 59589	 51572
56763	 4464	 61395	 52002	 61040	 52616
56150	 4065	 61264	 53367	 58818	 51152
58999	 5534	 64578	 51961	 64227	 55233
56432	 4033	 60806	 53013	 60059	 51851
57338	 4638	 62196	 52424	 61736	 52997
56104	 4112	 60140	 51842	 60270	 52167
55617	 4488	 60233	 50867	 59957	 51413
57612	 4419	 61892	 53269	 62163	 53125
55965	 4482	 60714	 51131	 60152	 51864
57169	 4549	 61637	 52092	 61761	 53187
56183	 4710	 61130	 50962	 60603	 52040
56560	 4364	 60826	 51993	 60998	 52426
55679	 4410	 60352	 50783	 59788	 51793
57570	 4550	 62329	 52948	 61900	 53104
56119	 4397	 60582	 51350	 60416	 52131
57183	 4641	 61799	 51898	 61789	 53248
55993	 4449	 60617	 51286	 60257	 51812
58709	 4613	 63473	 53401	 63097	 54867
55719	 4379	 60270	 51075	 59897	 51637
58232	 4963	 63334	 52393	 62967	 54234
55663	 4338	 60181	 51058	 59810	 51603
56248	 4094	 60499	 52574	 60150	 51771
56264	 4910	 61362	 50727	 60940	 52027
55442	 4284	 59981	 51163	 59458	 51167
56372	 4882	 61296	 50764	 61147	 52282
56257	 4084	 60450	 52758	 60191	 51629
55822	 4582	 60598	 50839	 60182	 51670
56392	 4419	 61706	 52418	 59797	 51647
57678	 5259	 63047	 51302	 62690	 53673
55867	 4667	 60720	 50773	 60324	 51651
57498	 5079	 62675	 51680	 62421	 53216
55904	 4526	 60591	 50921	 60236	 51869
55935	 4437	 60331	 50908	 60359	 52144
56327	 4328	 61433	 52438	 59762	 51678
55924	 4284	 60431	 51536	 59972	 51758
55886	 4475	 60587	 51004	 60098	 51857
56910	 4431	 62281	 52929	 60258	 52174
55806	 4069	 60005	 51673	 59737	 51810
55949	 4516	 60545	 50853	 60325	 52076
58174	 5024	 63361	 52189	 62915	 54233
