# --- Read time in mikroseconds ---
# MPI_Comm_size: 4
# configfile: mein-adios-fork/examples/heatTransfer/heat_bp3_sync.xml
# inputOutput: /home/urz/kduwe/ht-output/heat-bp3-4nodes.bp
# analysisOutput: /home/urz/kduwe/ht-output/heat-bp3-analysis-output.bp
# N 	 M 	 nx 	 ny 	 steps 	 iterations
2 	 2 	 1024 	 1024 	 100 	 10

# Mean 	 Sdev 	 Rank 0
4488	65	4411	 4573	 4529	 4439
4466	125	4386	 4578	 4544	 4359
4459	84	4366	 4548	 4538	 4384
4483	105	4392	 4588	 4567	 4386
4521	149	4487	 4638	 4657	 4303
4512	117	4427	 4637	 4599	 4386
4503	133	4451	 4592	 4615	 4357
4512	123	4496	 4604	 4601	 4349
4494	135	4432	 4641	 4586	 4318
4498	109	4462	 4610	 4566	 4355
4538	124	4515	 4617	 4626	 4397
4499	128	4459	 4644	 4522	 4374
4478	145	4501	 4666	 4386	 4362
4476	113	4478	 4623	 4376	 4429
4354	200	4473	 4535	 4044	 4366
4362	264	4562	 4571	 3929	 4387
4397	171	4319	 4628	 4219	 4425
Total runtime = 0.596795s

# --- Read time in mikroseconds ---
# MPI_Comm_size: 4
# configfile: mein-adios-fork/examples/heatTransfer/heat_bp3_sync.xml
# inputOutput: /home/urz/kduwe/ht-output/heat-bp3-4nodes.bp
# analysisOutput: /home/urz/kduwe/ht-output/heat-bp3-analysis-output.bp
# N 	 M 	 nx 	 ny 	 steps 	 iterations
2 	 2 	 4096 	 4096 	 100 	 10

# Mean 	 Sdev 	 Rank 0
36031	537	35372	 36552	 36437	 35766
22771	253	22343	 22952	 22965	 22824
23288	448	23011	 22757	 23806	 23580
22975	581	22311	 23332	 23676	 22584
23237	473	22620	 23454	 23852	 23023
23501	512	23211	 24051	 23911	 22832
23579	764	22903	 24479	 24158	 22778
23632	641	22947	 24400	 24131	 23050
23556	604	23235	 24564	 23138	 23289
23297	424	23208	 23886	 23395	 22699
23048	545	22735	 23715	 23411	 22331
23236	454	22503	 23674	 23440	 23328
23368	366	22888	 23821	 23448	 23317
23178	438	22837	 23830	 22816	 23231
23256	666	22352	 24211	 23266	 23196
23340	748	22546	 24069	 22690	 24058
23258	578	22938	 24027	 22558	 23511
22847	774	22424	 23763	 21852	 23352
20928	1375	19298	 21765	 19954	 22698
20430	1018	19514	 20205	 19868	 22134
19826	286	19838	 20080	 20001	 19386
19807	264	19666	 20102	 20013	 19447
19804	335	19680	 20095	 20052	 19392
19823	333	19936	 20188	 19768	 19403
19280	493	19265	 20033	 18690	 19133
18526	645	18055	 19053	 17774	 19225
17905	527	17483	 17485	 17897	 18756
17776	548	17484	 17474	 17436	 18711
17284	255	16879	 17585	 17304	 17368
17017	252	16844	 17112	 16757	 17356
17113	278	16692	 17202	 17286	 17274
16979	246	16712	 17056	 16802	 17346
16779	510	16148	 16966	 16550	 17455
16749	458	16381	 16518	 16563	 17534
16597	605	16169	 16096	 16530	 17594
16527	392	16111	 16338	 16584	 17078
16696	409	16268	 16495	 16684	 17338
16805	410	16265	 16982	 16608	 17365
16994	1037	16131	 16600	 16495	 18752
16605	455	16159	 16571	 16338	 17352
16685	433	16366	 16523	 16458	 17395
16496	576	16200	 15922	 16431	 17432
16619	340	16459	 16460	 16396	 17163
16358	333	16141	 16154	 16280	 16860
16453	513	16116	 16098	 16295	 17305
16338	382	15985	 16131	 16307	 16931
16129	461	15473	 16014	 16363	 16668
16099	322	15973	 15717	 16182	 16526
16199	451	15862	 15875	 16115	 16945
16244	369	15930	 15902	 16481	 16666
16073	417	15684	 15754	 16209	 16648
16409	376	16291	 16004	 16340	 17002
16153	384	15745	 15926	 16240	 16703
16219	319	15874	 15984	 16328	 16690
16185	361	15837	 15996	 16175	 16734
16299	204	16233	 16203	 16188	 16574
16236	372	15680	 16153	 16426	 16685
16288	267	16137	 15950	 16411	 16654
16431	239	16201	 16262	 16497	 16765
16166	343	15664	 16039	 16421	 16540
16299	329	15949	 16089	 16503	 16658
16256	387	15771	 16064	 16612	 16580
16245	339	15817	 16071	 16560	 16534
16127	356	15883	 15769	 16237	 16621
16048	258	15763	 15932	 16132	 16367
16120	341	15770	 15888	 16245	 16579
16075	384	15775	 15722	 16145	 16659
15969	307	15616	 15781	 16180	 16301
15969	287	15682	 15716	 16180	 16299
16099	511	15485	 15792	 16284	 16835
16100	337	15801	 15884	 16147	 16571
16155	278	15891	 15956	 16267	 16508
16203	312	15893	 15956	 16285	 16678
16337	320	15957	 16317	 16293	 16783
16113	343	15778	 15940	 16108	 16628
16048	346	15670	 15827	 16151	 16545
16336	430	15997	 16074	 16266	 17010
16127	429	16010	 15641	 16082	 16777
16225	332	15957	 16023	 16185	 16737
16119	305	15775	 15964	 16226	 16513
16261	377	15864	 16059	 16311	 16812
16036	413	15748	 15646	 16044	 16706
15999	205	15699	 15994	 16165	 16139
16098	259	15722	 16149	 16321	 16202
15950	296	15709	 15717	 16068	 16309
15879	185	15689	 15731	 16155	 15941
15749	73	15811	 15624	 15790	 15771
15728	194	15551	 15522	 15962	 15877
15971	243	15642	 15991	 16034	 16219
15871	252	15673	 15578	 16046	 16187
16060	300	15785	 15864	 16159	 16435
15976	302	15559	 15858	 16273	 16215
15999	199	15789	 15940	 16061	 16208
16039	190	15940	 16008	 15986	 16225
15947	348	15839	 15549	 15954	 16448
16022	146	15823	 15976	 16059	 16230
15949	232	15731	 15790	 16077	 16200
16185	228	15839	 16125	 16346	 16430
16029	200	15879	 15822	 16212	 16204
16048	278	15668	 16145	 16290	 16092
16237	181	16090	 16163	 16502	 16194
Total runtime = 1.93967s

# --- Read time in mikroseconds ---
# MPI_Comm_size: 12
# configfile: mein-adios-fork/examples/heatTransfer/heat_bp3_sync.xml
# inputOutput: /home/urz/kduwe/ht-output/heat-bp3-4nodes.bp
# analysisOutput: /home/urz/kduwe/ht-output/heat-bp3-analysis-output.bp
# N 	 M 	 nx 	 ny 	 steps 	 iterations
4 	 3 	 1024 	 1024 	 100 	 10

# Mean 	 Sdev 	 Rank 0
4067	742	4607	 4545	 3341	 4867	 2970	 4735	 4976	 3973	 2968	 4401	 4357	 3070
2431	526	3025	 1979	 2028	 2595	 1960	 2500	 3071	 3092	 1603	 2075	 3172	 2075
2459	636	3005	 1931	 1969	 2092	 3158	 2110	 3587	 2517	 1448	 3353	 2136	 2208
2509	674	2944	 1903	 1937	 2948	 1668	 2975	 2325	 2384	 2434	 2886	 1632	 4079
2552	721	2928	 1862	 1884	 3087	 1711	 3167	 2875	 1868	 1898	 2018	 3633	 3700
2572	696	2889	 1839	 1879	 3328	 1884	 3471	 2874	 1859	 1891	 2566	 2496	 3895
2536	768	3588	 2510	 1400	 2768	 1611	 2885	 2858	 1836	 1857	 3620	 1947	 3559
2543	869	3551	 2482	 1391	 2459	 1486	 3483	 2818	 1787	 1857	 3367	 4058	 1785
2290	576	2884	 1843	 1869	 1745	 1774	 2834	 1770	 1824	 2886	 2250	 3528	 2278
2465	728	2828	 1784	 1830	 2534	 1508	 3554	 2330	 2361	 2364	 1646	 4001	 2850
2409	671	2820	 1808	 1824	 2718	 1579	 2728	 1794	 2862	 1834	 1904	 3447	 3592
2438	595	2839	 1803	 1845	 2814	 1664	 2839	 2324	 2368	 2388	 3367	 1642	 3373
2446	627	2900	 1862	 1880	 2582	 1465	 3726	 2369	 2386	 2365	 2184	 3467	 2175
2401	687	2822	 1815	 1844	 2623	 1446	 3679	 2832	 1852	 1874	 2184	 3581	 2266
2499	890	3482	 1375	 2459	 1750	 1740	 2857	 3606	 1412	 2551	 1702	 2896	 4165
2220	545	2899	 1850	 1873	 1748	 1680	 2753	 1744	 1819	 2878	 2090	 2020	 3292
2414	743	3493	 1391	 2454	 2526	 1458	 3656	 1778	 1831	 2854	 2132	 2091	 3309
2506	859	2838	 1854	 1835	 2550	 1495	 3562	 3541	 2519	 1373	 1607	 4063	 2842
2390	674	2834	 1843	 1822	 1760	 1802	 2765	 2360	 2405	 2405	 1678	 2893	 4116
2410	586	2846	 1838	 1801	 2559	 1510	 3596	 2401	 2380	 2381	 2174	 3318	 2124
2415	518	2797	 1818	 1823	 3535	 1465	 2518	 2389	 2343	 2389	 2639	 2574	 2698
2370	647	2677	 2000	 1711	 2686	 1654	 3701	 1796	 2869	 1848	 2130	 2052	 3327
2443	892	2420	 3427	 1307	 2782	 1769	 1740	 2445	 1346	 3510	 2897	 1542	 4134
2412	668	3278	 2260	 1304	 2655	 1606	 3664	 2244	 2290	 2268	 2026	 2077	 3276
2528	808	3247	 2208	 1316	 2616	 1454	 3593	 2444	 2443	 2364	 1672	 2856	 4127
2449	752	3585	 2498	 1474	 2684	 1613	 3713	 2913	 1812	 1720	 2036	 2064	 3282
3870	1756	5338	 2135	 1282	 4960	 1548	 6007	 3730	 1472	 4690	 3868	 6326	 5089
2339	616	3361	 1193	 2265	 2853	 1576	 2844	 2223	 2287	 2158	 2046	 2027	 3245
2208	590	2421	 1205	 1322	 2857	 1683	 2849	 2272	 2327	 2176	 2078	 2022	 3286
2359	731	3233	 2182	 1314	 1775	 1764	 2843	 2311	 2345	 2150	 2813	 1571	 4009
2502	855	3223	 2171	 1308	 2615	 1510	 3777	 1954	 2003	 2948	 2854	 1614	 4054
2436	731	3297	 2197	 1341	 2903	 1635	 2816	 2250	 2308	 2189	 2781	 1553	 3973
2471	809	3233	 2132	 1275	 2660	 1521	 3572	 2317	 2329	 2182	 2821	 1575	 4045
2201	757	2380	 1185	 1321	 2487	 1430	 3459	 2236	 2236	 2139	 2532	 1398	 3616
2190	678	2440	 1204	 1352	 2590	 1458	 3620	 2182	 2220	 2116	 1986	 1980	 3142
2142	740	2439	 1212	 1332	 2826	 1568	 2795	 1602	 2688	 1658	 2546	 1422	 3626
2271	816	2839	 1202	 1331	 2527	 1466	 3581	 2490	 1405	 3496	 1939	 1902	 3079
2304	719	3285	 2158	 1298	 2623	 2589	 1440	 2439	 1380	 3528	 1939	 1905	 3073
2401	841	3243	 2169	 1248	 3646	 2596	 1428	 3796	 1387	 2542	 1920	 1871	 2972
2418	887	3140	 2120	 1187	 3552	 2519	 1455	 3424	 1265	 2410	 1501	 2660	 3784
2292	797	3050	 2102	 1190	 2877	 1772	 1744	 3386	 1302	 2438	 1450	 2528	 3671
2165	879	2153	 1215	 1194	 3698	 1553	 2589	 2460	 1521	 1660	 1451	 3921	 2571
2259	785	3053	 1189	 2112	 2565	 1468	 3554	 1220	 2218	 3372	 1397	 2385	 2583
2165	782	2127	 1186	 3044	 2807	 1624	 2888	 1212	 2392	 1399	 1333	 2370	 3605
2257	929	2143	 1193	 1203	 2541	 1459	 3728	 1313	 2567	 3652	 1361	 3431	 2503
2770	1651	4561	 1194	 3455	 1636	 1601	 4997	 1207	 1253	 3593	 1378	 2240	 6130
1925	705	2181	 1217	 1209	 2188	 1472	 2933	 1166	 2234	 3254	 1409	 1253	 2585
2401	919	3042	 1178	 2103	 3978	 1484	 2794	 1152	 3248	 2304	 1389	 3527	 2623
2375	845	3057	 1167	 2098	 3468	 1477	 2558	 1321	 2408	 3473	 1493	 2415	 3568
1902	751	2151	 1184	 1215	 1278	 1414	 2892	 1324	 2486	 1479	 1371	 3486	 2555
2110	844	2460	 1318	 1312	 1332	 1341	 2651	 1354	 3630	 2559	 1375	 3465	 2534
2118	884	2142	 1185	 1206	 2652	 1418	 1609	 1363	 3965	 2654	 1421	 2333	 3472
2219	926	3042	 1179	 2109	 2284	 1296	 1316	 1408	 4182	 2804	 1378	 2277	 3354
