
# --- Write time in mikroseconds ---
# configfile: mein-adios-fork/examples/heatTransfer/heat_bp3_sync.xml
# outputfile: /home/urz/kduwe/ht-output/heat-bp3-4nodes.bp
# MPI_Comm_size: 4
# N 	 M 	 nx 	 ny 	 steps 	 iterations
2 	 2 	 1024 	 1024 	 100 	 10

# Mean 	 Sdev 	 Rank 0
59312	 1554	 61958	 58191	 58899	 58200
58233	 2025	 61631	 56429	 57450	 57425
59380	 1548	 61819	 57756	 59375	 58573
299717	 419650	 1026572	 56652	 57861	 57783
58564	 1506	 60986	 56887	 58215	 58169
58832	 1814	 61925	 57983	 57788	 57635
66488	 13707	 90208	 57727	 58879	 59140
61906	 7380	 74669	 57166	 57929	 57863
66562	 14603	 91850	 57856	 58293	 58251
72219	 25304	 116037	 56670	 58100	 58069
75938	 31294	 130138	 57456	 58139	 58021
59687	 1956	 63064	 58300	 58716	 58668
75173	 28775	 124996	 57409	 59174	 59115
59215	 2887	 64205	 57686	 57513	 57457
69791	 21405	 106864	 57751	 57310	 57239
71196	 18729	 103520	 57861	 61765	 61640
64470	 10259	 82199	 57447	 59147	 59088
74674	 26195	 120031	 58531	 60109	 60027
163797	 178087	 472253	 60934	 61017	 60984
436569	 652741	 1567149	 58614	 60272	 60241
110284	 88478	 263514	 56926	 60496	 60202
105427	 82339	 248042	 57696	 58012	 57959
71393	 22927	 111102	 57957	 58316	 58198
59564	 1668	 62417	 58518	 58536	 58787
58089	 1818	 61222	 56942	 57148	 57045
60611	 1954	 63908	 59491	 60147	 58898
58399	 1900	 61647	 57615	 57269	 57067
59564	 1445	 61671	 57651	 59515	 59421
59262	 1255	 61411	 58458	 58486	 58694
58261	 1119	 60154	 57663	 57620	 57609
58830	 1416	 61055	 58147	 58868	 57251
60201	 1694	 63106	 59195	 59272	 59233
59807	 1018	 61450	 59624	 59077	 59080
60877	 1338	 63156	 60084	 60107	 60163
58825	 1485	 61347	 57943	 58022	 57991
59169	 1546	 61765	 57960	 58926	 58025
58343	 1673	 61195	 57474	 57378	 57328
60069	 1554	 62741	 59484	 59017	 59034
60603	 1499	 63183	 59735	 59759	 59736
59064	 1634	 61873	 58463	 57993	 57927
58850	 1697	 61761	 57847	 57920	 57874
59452	 2656	 63408	 60332	 57067	 57002
58332	 1452	 60796	 57516	 57533	 57486
58964	 1581	 61642	 57828	 58229	 58160
60962	 3903	 67720	 58914	 58636	 58578
57974	 1563	 60632	 56988	 57175	 57104
58791	 1690	 61668	 57502	 58031	 57965
58325	 1545	 60986	 57421	 57482	 57412
57921	 1686	 60784	 57165	 57022	 56716
59299	 1775	 62117	 57272	 58965	 58844
58963	 1426	 61377	 57856	 58344	 58277
58619	 1743	 61617	 57818	 57542	 57500
58950	 1796	 61989	 57375	 58260	 58177
58487	 1418	 60923	 57803	 57638	 57585
58522	 2419	 62665	 57589	 56946	 56890
59332	 1458	 61773	 57907	 58855	 58793
58783	 1254	 60956	 58092	 58077	 58007
58747	 1971	 62110	 58184	 57374	 57320
59770	 1806	 62672	 57776	 59351	 59283
59110	 1445	 61551	 58101	 58436	 58355
58524	 1631	 61319	 57641	 57593	 57545
58912	 1650	 61698	 57379	 58317	 58254
58757	 1689	 61325	 56669	 58549	 58488
58033	 1819	 61011	 57968	 56673	 56481
57924	 1061	 59725	 57122	 57463	 57387
59735	 2218	 63001	 56779	 59574	 59588
66193	 7776	 78720	 57351	 64368	 64333
137903	 71247	 261306	 96729	 96808	 96771
11822107	 3909	 11825329	 11820906	 11821110	 11821085
7363593	 7303537	 14670751	 61263	 14663509	 58849
484230	 733455	 1754611	 59179	 61580	 61552
158628	 174916	 461592	 57632	 57669	 57622
137265	 136949	 374467	 57803	 58442	 58351
59617	 1586	 62170	 57848	 59215	 59236
59489	 2412	 63373	 56845	 59076	 58665
62199	 2147	 65342	 59321	 62064	 62071
60433	 2389	 64085	 58207	 60979	 58464
60688	 1990	 64070	 60180	 59355	 59147
60363	 2059	 63614	 57936	 60100	 59803
61362	 2494	 65402	 61376	 59357	 59316
71369	 1733	 74138	 69738	 71359	 70244
Total runtime = 49.652s
-rw-r--r--. 1 kduwe iks 53K Aug  5 18:02 /home/urz/kduwe/ht-output/heat-bp3-4nodes.bp

# --- Write time in mikroseconds ---
# configfile: mein-adios-fork/examples/heatTransfer/heat_bp3_sync.xml
# outputfile: /home/urz/kduwe/ht-output/heat-bp3-4nodes.bp
# MPI_Comm_size: 12
# N 	 M 	 nx 	 ny 	 steps 	 iterations
4 	 3 	 1024 	 1024 	 100 	 10

# Mean 	 Sdev 	 Rank 0
