 
# Runtime = 1
# Iteration = 0
Name                            Duration (Operations/s) (Throughput/s) [Total Duration] {min/mean/max/var} quantiles;0.990000;0.900000;0.100000;0.010000;
---------------------------------------------------------------------------------------------------------------------------------------------------------
Name                            Duration (Operations/s) (Throughput/s) [Total Duration] {min/mean/max/var} quantiles;0.990000;0.900000;0.100000;0.010000;
---------------------------------------------------------------------------------------------------------------------------------------------------------
/kv/put:                        1.199 seconds (4169/s) [2.397 seconds] {0.000154/0.000240/0.002971/0.000082} 0.000396;0.000344;0.000174;0.000159;
/kv/put-batch:                  1.182 seconds (4230/s) [2.378 seconds] {0.234860/0.236433/0.237704/0.001144} 0.237704;0.237704;0.234860;0.234860;
/kv/get:                        1.012 seconds (74079/s) [1.490 seconds] {0.000013/0.000013/0.000212/0.000003} 0.000016;0.000014;0.000013;0.000013;
/kv/get-batch:                  1.000 seconds (77970/s) [1.477 seconds] {0.012748/0.012825/0.012975/0.000045} 0.012975;0.012873;0.012769;0.012748;
/kv/delete:                     1.210 seconds (4131/s) [2.392 seconds] {0.000155/0.000242/0.000668/0.000070} 0.000388;0.000346;0.000177;0.000161;
/kv/delete-batch:               1.200 seconds (4167/s) [2.388 seconds] {0.238931/0.239969/0.242883/0.001477} 0.242883;0.242883;0.238931;0.238931;
/kv/unordered-put-delete:       1.368 seconds (4387/s) [1.368 seconds] {0.000386/0.000456/0.000614/0.000053} 0.000552;0.000509;0.000396;0.000391;
/kv/unordered-put-delete-batch: 1.391 seconds (4312/s) [1.391 seconds] {0.453642/0.463786/0.483202/0.013734} 0.483202;0.483202;0.453642;0.453642;
# Iteration = 7
Name                            Duration (Operations/s) (Throughput/s) [Total Duration] {min/mean/max/var} quantiles;0.990000;0.900000;0.100000;0.010000;
---------------------------------------------------------------------------------------------------------------------------------------------------------
/kv/put:                        1.187 seconds (4211/s) [2.363 seconds] {0.000153/0.000237/0.003045/0.000082} 0.000381;0.000344;0.000171;0.000159;
/kv/put-batch:                  1.181 seconds (4234/s) [2.377 seconds] {0.235163/0.236210/0.237558/0.000808} 0.237558;0.237558;0.235163;0.235163;
/kv/get:                        1.011 seconds (75146/s) [1.489 seconds] {0.000012/0.000013/0.000223/0.000003} 0.000016;0.000014;0.000013;0.000013;
/kv/get-batch:                  1.008 seconds (78338/s) [1.486 seconds] {0.012720/0.012765/0.012898/0.000027} 0.012898;0.012794;0.012737;0.012720;
/kv/delete:                     1.204 seconds (4153/s) [2.381 seconds] {0.000150/0.000241/0.000486/0.000069} 0.000386;0.000346;0.000176;0.000159;
/kv/delete-batch:               1.195 seconds (4185/s) [2.377 seconds] {0.237569/0.238973/0.239858/0.000971} 0.239858;0.239858;0.237569;0.237569;
/kv/unordered-put-delete:       1.389 seconds (4320/s) [1.389 seconds] {0.000384/0.000463/0.001071/0.000055} 0.000562;0.000516;0.000397;0.000390;
/kv/unordered-put-delete-batch: 1.358 seconds (4417/s) [1.358 seconds] {0.442515/0.452762/0.458052/0.007247} 0.458052;0.458052;0.442515;0.442515;
# Iteration = 8
Name                            Duration (Operations/s) (Throughput/s) [Total Duration] {min/mean/max/var} quantiles;0.990000;0.900000;0.100000;0.010000;
---------------------------------------------------------------------------------------------------------------------------------------------------------
/kv/put:                        1.195 seconds (4183/s) [2.387 seconds] {0.000151/0.000239/0.003109/0.000083} 0.000396;0.000344;0.000171;0.000158;
/kv/put-batch:                  1.179 seconds (4240/s) [2.370 seconds] {0.234457/0.235870/0.237156/0.000875} 0.237156;0.237156;0.234457;0.234457;
/kv/get:                        1.012 seconds (74107/s) [1.488 seconds] {0.000012/0.000013/0.000212/0.000003} 0.000017;0.000014;0.000013;0.000013;
/kv/get-batch:                  1.004 seconds (77722/s) [1.478 seconds] {0.012796/0.012866/0.012986/0.000035} 0.012986;0.012916;0.012820;0.012796;
/kv/delete:                     1.208 seconds (4139/s) [2.389 seconds] {0.000153/0.000242/0.000518/0.000070} 0.000388;0.000347;0.000177;0.000161;
/kv/delete-batch:               1.208 seconds (4138/s) [2.377 seconds] {0.226134/0.241637/0.264910/0.012689} 0.264910;0.264910;0.226134;0.226134;
/kv/unordered-put-delete:       1.369 seconds (4382/s) [1.369 seconds] {0.000383/0.000456/0.000646/0.000053} 0.000571;0.000511;0.000397;0.000393;
/kv/unordered-put-delete-batch: 1.360 seconds (4412/s) [1.360 seconds] {0.452309/0.453331/0.454030/0.000739} 0.454030;0.454030;0.452309;0.452309;
# Iteration = 9
Name                            Duration (Operations/s) (Throughput/s) [Total Duration] {min/mean/max/var} quantiles;0.990000;0.900000;0.100000;0.010000;
---------------------------------------------------------------------------------------------------------------------------------------------------------
/kv/put:                        1.196 seconds (4181/s) [2.394 seconds] {0.000152/0.000239/0.003126/0.000083} 0.000394;0.000344;0.000171;0.000158;
/kv/put-batch:                  1.190 seconds (4201/s) [2.398 seconds] {0.236944/0.238020/0.238522/0.000579} 0.238522;0.238522;0.236944;0.236944;
/kv/get:                        1.008 seconds (74426/s) [1.486 seconds] {0.000012/0.000013/0.000218/0.000003} 0.000017;0.000014;0.000013;0.000013;
/kv/get-batch:                  1.009 seconds (78279/s) [1.486 seconds] {0.012708/0.012775/0.012914/0.000034} 0.012914;0.012811;0.012737;0.012708;
/kv/delete:                     1.206 seconds (4146/s) [2.389 seconds] {0.000151/0.000241/0.000494/0.000070} 0.000389;0.000346;0.000177;0.000159;
/kv/delete-batch:               1.032 seconds (3874/s) [2.210 seconds] {0.227468/0.258121/0.325394/0.039222} 0.325394;0.325394;0.227468;0.227468;
/kv/unordered-put-delete:       1.752 seconds (2283/s) [1.752 seconds] {0.000436/0.000876/0.001153/0.000154} 0.001094;0.001028;0.000746;0.000447;
/kv/unordered-put-delete-batch: 1.787 seconds (2238/s) [1.787 seconds] {0.891160/0.893673/0.896186/0.002513} 0.896186;0.896186;0.891160;0.891160;
 
# Runtime = 10
# Iteration = 0
Name                            Duration (Operations/s) (Throughput/s) [Total Duration] {min/mean/max/var} quantiles;0.990000;0.900000;0.100000;0.010000;
---------------------------------------------------------------------------------------------------------------------------------------------------------
/kv/put:                        10.006 seconds (16290/s) [22.477 seconds] {0.000004/0.000061/0.281406/0.002919} 0.000013;0.000006;0.000005;0.000005;
/kv/put-batch:                  10.036 seconds (12356/s) [17.441 seconds] {0.004830/0.080935/0.250608/0.077366} 0.216007;0.187980;0.005080;0.004974;
/kv/get:                        Bail out! JULEA:ERROR:../benchmark/kv/kv.c:150:_benchmark_kv_get: 'ret' should be TRUE
# Iteration = 1
Name                            Duration (Operations/s) (Throughput/s) [Total Duration] {min/mean/max/var} quantiles;0.990000;0.900000;0.100000;0.010000;
---------------------------------------------------------------------------------------------------------------------------------------------------------
/kv/put:                        10.002 seconds (4199/s) [20.040 seconds] {0.000153/0.000238/0.003177/0.000072} 0.000386;0.000344;0.000173;0.000160;
/kv/put-batch:                  10.167 seconds (4229/s) [20.428 seconds] {0.220837/0.236452/0.263110/0.004880} 0.263110;0.237660;0.234900;0.220837;
/kv/get:                        10.010 seconds (73424/s) [10.512 seconds] {0.000012/0.000014/0.000215/0.000003} 0.000017;0.000014;0.000013;0.000013;
/kv/get-batch:                  10.007 seconds (77148/s) [10.461 seconds] {0.012882/0.012962/0.013223/0.000035} 0.013076;0.013000;0.012924;0.012897;
/kv/delete:                     10.122 seconds (4149/s) [20.068 seconds] {0.000151/0.000241/0.000760/0.000069} 0.000385;0.000345;0.000177;0.000160;
/kv/delete-batch:               
