# --- QueryAdios time in mikroseconds ---
# MPI_Comm_size: 1
# N 	 M 	 nx 	 ny 	 steps 	 iterations
12 	 8 	 1024 	 1024 	 100 	 10
# Iteration = 1

# Read 	 Compute 	 Analysis
drwxr-xr-x. 4 kduwe iks    2 Aug 18 02:34 ..
-rw-r--r--. 1 kduwe iks  38G Aug 18 02:34 data.0
-rw-r--r--. 1 kduwe iks  38G Aug 18 02:34 data.1
-rw-r--r--. 1 kduwe iks  38G Aug 18 02:34 data.2
-rw-r--r--. 1 kduwe iks  38G Aug 18 02:34 data.3
-rw-r--r--. 1 kduwe iks 2.3M Aug 18 02:34 md.0
-rw-r--r--. 1 kduwe iks 6.4K Aug 18 02:34 md.idx
-rw-r--r--. 1 kduwe iks  23K Aug 18 02:34 profiling.json
# --- QueryAdios time in mikroseconds ---
# MPI_Comm_size: 1
# N 	 M 	 nx 	 ny 	 steps 	 iterations
12 	 8 	 2048 	 2048 	 100 	 10
# Iteration = 1

# Read 	 Compute 	 Analysis
6518 	 6518 	 6518
267146730 	 267146730 	 267146730
5257 	 5257 	 5257
965410626 	 965410626 	 965410626
Total runtime = 1232.58s

# Iteration = 2

# Read 	 Compute 	 Analysis
6042 	 6042 	 6042
270027449 	 270027449 	 270027449
5115 	 5115 	 5115
961841435 	 961841435 	 961841435
Total runtime = 1231.9s

# Iteration = 3

# Read 	 Compute 	 Analysis
6104 	 6104 	 6104
264501930 	 264501930 	 264501930
5289 	 5289 	 5289
959382141 	 959382141 	 959382141
Total runtime = 1223.91s

# Iteration = 4

# Read 	 Compute 	 Analysis
6191 	 6191 	 6191
270231446 	 270231446 	 270231446
5548 	 5548 	 5548
958293345 	 958293345 	 958293345
Total runtime = 1228.55s

# Iteration = 5

# Read 	 Compute 	 Analysis
6541 	 6541 	 6541
265179759 	 265179759 	 265179759
5418 	 5418 	 5418
958324960 	 958324960 	 958324960
Total runtime = 1223.53s

# Iteration = 6

# Read 	 Compute 	 Analysis
6097 	 6097 	 6097
274678850 	 274678850 	 274678850
5765 	 5765 	 5765
960671927 	 960671927 	 960671927
Total runtime = 1235.38s

# Iteration = 7

# Read 	 Compute 	 Analysis
6219 	 6219 	 6219
275617501 	 275617501 	 275617501
5176 	 5176 	 5176
959326371 	 959326371 	 959326371
Total runtime = 1234.97s

# Iteration = 8

# Read 	 Compute 	 Analysis
6355 	 6355 	 6355
280485006 	 280485006 	 280485006
5079 	 5079 	 5079
960851685 	 960851685 	 960851685
Total runtime = 1241.36s

# Iteration = 9

# Read 	 Compute 	 Analysis
6306 	 6306 	 6306
287158954 	 287158954 	 287158954
5706 	 5706 	 5706
960479473 	 960479473 	 960479473
Total runtime = 1247.67s

# Iteration = 10

# Read 	 Compute 	 Analysis
6838 	 6838 	 6838
279518004 	 279518004 	 279518004
5899 	 5899 	 5899
960014228 	 960014228 	 960014228
Total runtime = 1239.56s

# File Size:
total 607G
drwxr-xr-x. 2 kduwe iks    7 Aug 18 03:24 .
drwxr-xr-x. 4 kduwe iks    2 Aug 18 03:24 ..
-rw-r--r--. 1 kduwe iks 152G Aug 18 03:24 data.0
-rw-r--r--. 1 kduwe iks 152G Aug 18 03:24 data.1
-rw-r--r--. 1 kduwe iks 152G Aug 18 03:24 data.2
-rw-r--r--. 1 kduwe iks 152G Aug 18 03:24 data.3
-rw-r--r--. 1 kduwe iks 2.3M Aug 18 03:24 md.0
-rw-r--r--. 1 kduwe iks 6.4K Aug 18 03:24 md.idx
-rw-r--r--. 1 kduwe iks  23K Aug 18 03:24 profiling.json
